iter	Logloss
0	0.6412306813
1	0.5945284801
2	0.5525968849
3	0.5134938021
4	0.479899102
5	0.447014479
6	0.4164879228
7	0.390847883
8	0.3657435113
9	0.3444426443
10	0.3229008778
11	0.3051299042
12	0.2893709772
13	0.2731164615
14	0.2598044363
15	0.2474570966
16	0.2356776738
17	0.2245451995
18	0.2150583796
19	0.2053259092
20	0.1954819168
21	0.1867960827
22	0.1786801784
23	0.1722522625
24	0.1653359848
25	0.1600859146
26	0.1540802727
27	0.148163184
28	0.1441788787
29	0.1399289234
30	0.1356383553
31	0.1313768251
32	0.1280770113
33	0.1246484842
34	0.1211860576
35	0.1180743014
36	0.1154331922
37	0.1125099967
38	0.1104687814
39	0.1087048714
40	0.1064061087
41	0.104247443
42	0.1022538459
43	0.1003687413
44	0.09886448239
45	0.09763993437
46	0.09612444271
47	0.09474631035
48	0.09363276097
49	0.09216717239
50	0.09115391231
51	0.0902236395
52	0.0890779923
53	0.0881724496
54	0.08737377881
55	0.08629687669
56	0.08534574886
57	0.08467341602
58	0.08389340605
59	0.08329579698
60	0.08261871338
61	0.08205942239
62	0.08136462914
63	0.08072731803
64	0.08011885369
65	0.07964468883
66	0.07913287019
67	0.07847207706
68	0.07799034823
69	0.07745675361
70	0.07695795427
71	0.07642811395
72	0.07595905717
73	0.07556786449
74	0.07516843348
75	0.07477199685
76	0.07432093155
77	0.07399855943
78	0.07398647117
79	0.07397466977
80	0.07359197209
81	0.07324003355
82	0.07293267363
83	0.07262899253
84	0.07238946678
85	0.07206715506
86	0.07186805101
87	0.0716254101
88	0.07127568086
89	0.07094991679
90	0.07076258395
91	0.07035603184
92	0.07009906316
93	0.07003404723
94	0.07002490806
95	0.06973167963
96	0.06953484528
97	0.06937520171
98	0.06919550833
99	0.06905712238
100	0.06883944308
101	0.06873861026
102	0.06844071159
103	0.06843227195
104	0.06821001803
105	0.06794173107
106	0.06776920409
107	0.06763879982
108	0.06740845854
109	0.06713790189
110	0.06713017688
111	0.06697388501
112	0.0669674131
113	0.06665798982
114	0.06649384712
115	0.0663287734
116	0.06617071509
117	0.06616510879
118	0.0661594874
119	0.06590895036
120	0.06572052042
121	0.06555106332
122	0.06542545007
123	0.06527849363
124	0.06502942108
125	0.06487424141
126	0.06477438995
127	0.06456339391
128	0.06442847541
129	0.06424521393
130	0.06414445661
131	0.06402566754
132	0.06398473755
133	0.06383895371
134	0.06375859847
135	0.06354915246
136	0.06348466999
137	0.06334767807
138	0.06323947756
139	0.06310920413
140	0.06304306594
141	0.0629345534
142	0.06266631677
143	0.06256706419
144	0.06253846403
145	0.06253518781
146	0.06245808866
147	0.06227929611
148	0.06212516825
149	0.06207490282
150	0.06207202921
151	0.06206930659
152	0.06200468823
153	0.06190986432
154	0.06169312107
155	0.0615823791
156	0.06157923877
157	0.0614448185
158	0.06134699517
159	0.06134471038
160	0.06127867283
161	0.06112499287
162	0.06108237194
163	0.06088846151
164	0.06088649377
165	0.06088441532
166	0.06088244758
167	0.06072738869
168	0.06058739735
169	0.06048126019
170	0.06036695012
171	0.06036517865
172	0.06027637874
173	0.0601743985
174	0.06001485055
175	0.05991965422
176	0.05986465816
177	0.0596953621
178	0.05955553684
179	0.05948782345
180	0.05937000063
181	0.05925698897
182	0.05913449592
183	0.05902358284
184	0.05893060085
185	0.05883391489
186	0.05872896038
187	0.05865626474
188	0.05856322236
189	0.05849415017
190	0.05835609134
191	0.05824724665
192	0.05814727944
193	0.05803830391
194	0.05797402274
195	0.05792125108
196	0.05780267841
197	0.05770125678
198	0.05762153062
199	0.05754136662
200	0.05750927887
201	0.05750289253
202	0.05742620101
203	0.05733004346
204	0.05724706121
205	0.05719837601
206	0.05706877193
207	0.05700486317
208	0.05696165845
209	0.05696052612
210	0.05679215605
211	0.05673985745
212	0.0566705286
213	0.05664293999
214	0.05660734957
215	0.05659222666
216	0.05654894142
217	0.05641548741
218	0.05630851484
219	0.056280428
220	0.05613682327
221	0.05609484147
222	0.05604983005
223	0.05600551817
224	0.05586224055
225	0.0557743616
226	0.05573867053
227	0.05573865543
228	0.05564290049
229	0.05562565383
230	0.05555092502
231	0.05547753991
232	0.05545182845
233	0.05529315616
234	0.05524564859
235	0.05514593301
236	0.05508573829
237	0.05495451874
238	0.05487370554
239	0.05478446779
240	0.05467881376
241	0.05457025593
242	0.05448677043
243	0.05438701962
244	0.05435065921
245	0.05428509473
246	0.05416624024
247	0.05404612257
248	0.05395969804
249	0.05391833021
250	0.05378781019
251	0.05370915093
252	0.05366109481
253	0.05362183563
254	0.05357760427
255	0.05353956298
256	0.05346870926
257	0.05342317949
258	0.05337929034
259	0.05332627208
260	0.05332064062
261	0.05328144687
262	0.05320338146
263	0.0531785507
264	0.05301966202
265	0.05297570241
266	0.05295970887
267	0.05294377068
268	0.05294379081
269	0.0529280036
270	0.05292796837
271	0.05288161829
272	0.05288157803
273	0.05288141699
274	0.05283139815
275	0.05280271747
276	0.0527406456
277	0.05268022442
278	0.05266054199
279	0.05263891698
280	0.05260471555
281	0.05258514887
282	0.05252140619
283	0.05247686784
284	0.05232177372
285	0.05224811685
286	0.05223532402
287	0.05221556107
288	0.05217302066
289	0.05217140017
290	0.05204779995
291	0.05194046504
292	0.05192242826
293	0.05187999353
294	0.05178245705
295	0.05177351416
296	0.05167652623
297	0.05167651617
298	0.05165815731
299	0.0516151086
300	0.05160575806
301	0.05145918411
302	0.05141490745
303	0.05138848639
304	0.05132380262
305	0.05131014419
306	0.05128559525
307	0.05128557512
308	0.05120842564
309	0.0511589
310	0.05112588123
311	0.05110081897
312	0.0510144045
313	0.05093794448
314	0.05092657587
315	0.05085768989
316	0.05084790152
317	0.05082512908
318	0.05074951454
319	0.05071692354
320	0.05064537028
321	0.05063217988
322	0.05053826687
323	0.05040483299
324	0.05028615463
325	0.050238174
326	0.05017445144
327	0.05005222009
328	0.04995758238
329	0.04989496196
330	0.04985675459
331	0.04979364601
332	0.04972003947
333	0.04968440879
334	0.04963817949
335	0.04959413433
336	0.04954023537
337	0.04951457927
338	0.04949846494
339	0.04947938139
340	0.04938915726
341	0.04934269646
342	0.04932308952
343	0.04929569214
344	0.04927706656
345	0.04922780261
346	0.04912583746
347	0.04909450964
348	0.04905911046
349	0.04905137034
350	0.04904129008
351	0.04899939384
352	0.04895955088
353	0.04893879148
354	0.04884497912
355	0.04877604281
356	0.04873457936
357	0.04868078609
358	0.04864143633
359	0.04859436156
360	0.04855807664
361	0.04849742396
362	0.0484931211
363	0.04845099839
364	0.04837323997
365	0.04830610029
366	0.04827947289
367	0.04822441645
368	0.04820702384
369	0.04818640535
370	0.04811765022
371	0.04805779268
372	0.04803699302
373	0.04802176946
374	0.04792006601
375	0.04785720906
376	0.04782163877
377	0.04779031598
378	0.04776942069
379	0.0477128746
380	0.04770564278
381	0.04765716895
382	0.04754563183
383	0.04753287927
384	0.0475194926
385	0.04749376604
386	0.0474283475
387	0.04736468031
388	0.04731226596
